product_id,week,sku_sold,week_start
707,2019-03-18/2019-03-24,18,2019-03-18
707,2019-04-01/2019-04-07,9,2019-04-01
707,2019-04-15/2019-04-21,14,2019-04-15
707,2019-04-29/2019-05-05,28,2019-04-29
707,2019-05-13/2019-05-19,28,2019-05-13
707,2019-06-03/2019-06-09,9,2019-06-03
707,2019-07-01/2019-07-07,28,2019-07-01
707,2019-10-07/2019-10-13,42,2019-10-07
707,2020-02-24/2020-03-01,9,2020-02-24
708,2018-01-15/2018-01-21,4,2018-01-15
708,2018-04-02/2018-04-08,4,2018-04-02
708,2019-11-11/2019-11-17,2,2019-11-11
708,2020-03-09/2020-03-15,8,2020-03-09
709,2018-01-08/2018-01-14,2,2018-01-08
709,2018-01-22/2018-01-28,2,2018-01-22
709,2018-02-05/2018-02-11,2,2018-02-05
709,2018-02-12/2018-02-18,2,2018-02-12
709,2018-04-16/2018-04-22,2,2018-04-16
709,2018-04-30/2018-05-06,2,2018-04-30
709,2018-05-28/2018-06-03,2,2018-05-28
709,2018-06-04/2018-06-10,2,2018-06-04
709,2018-06-25/2018-07-01,2,2018-06-25
709,2018-08-27/2018-09-02,2,2018-08-27
709,2018-10-15/2018-10-21,2,2018-10-15
709,2018-10-29/2018-11-04,2,2018-10-29
709,2019-01-07/2019-01-13,12,2019-01-07
709,2019-01-28/2019-02-03,2,2019-01-28
709,2019-02-04/2019-02-10,2,2019-02-04
709,2019-02-18/2019-02-24,4,2019-02-18
709,2019-02-25/2019-03-03,8,2019-02-25
709,2019-04-15/2019-04-21,2,2019-04-15
709,2019-04-22/2019-04-28,2,2019-04-22
709,2019-04-29/2019-05-05,2,2019-04-29
709,2019-07-29/2019-08-04,2,2019-07-29
709,2020-03-16/2020-03-22,4,2020-03-16
710,2018-05-28/2018-06-03,0,2018-05-28
710,2018-06-04/2018-06-10,2,2018-06-04
710,2018-06-18/2018-06-24,8,2018-06-18
710,2018-09-24/2018-09-30,50,2018-09-24
710,2018-10-15/2018-10-21,4,2018-10-15
710,2019-07-29/2019-08-04,2,2019-07-29
710,2020-04-06/2020-04-12,4,2020-04-06
711,2020-03-09/2020-03-15,1,2020-03-09
711,2020-04-20/2020-04-26,2,2020-04-20
